职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
软件开发工程师,四川多联实业有限公司,1.2-1.5万,成都,3-4年,本科,民营,500-1000人,建筑/建材/工程,https://jobs.51job.com/chengdu/148091169.html?s=sou_sou_soulb&t=0_0&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coBGEFZwNiATxUNwBrUTU.html
Python开发工程师,上海帼联信息技术有限公司,1.1-1.8万,上海·静安区,3-4年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/146215461.html?s=sou_sou_soulb&t=0_0&req=a2929202832cf63f4900acba441fd2bb,https://jobs.51job.com/all/coBmZcPARnAT9WNAFqUDc.html
高级python后端开发工程师,达而观信息科技（上海）有限公司,1.8-3.6万,深圳·南山区,5-7年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/shenzhen/106402524.html?s=sou_sou_soulb&t=0_0&req=a2929202832cf63f4900acba441fd2bb,https://jobs.51job.com/all/coBGZWMwBgVGlVNw1sAWU.html
Python,北京华路时代信息技术股份有限公司,1.5-2万,北京·海淀区,2年,大专,民营,,专业服务(咨询、人力资源、财会),https://jobs.51job.com/beijing/147458748.html?s=sou_sou_soulb&t=0_0&req=a2929202832cf63f4900acba441fd2bb,https://jobs.51job.com/all/coVTVUNFY0UWYEY1ExVTI.html
python开发（线上面试）,杭州博彦信息技术有限公司,9千-1万,成都·武侯区,3-4年,大专,民营,5000-10000人,计算机软件,https://jobs.51job.com/chengdu/147449149.html?s=sou_sou_soulb&t=0_0&req=a2929202832cf63f4900acba441fd2bb,https://jobs.51job.com/all/coUzdWNARkAjwGYAdiBWc.html
资深图像算法工程师,捷普集团-捷普电子（广州）有限公司 Jabil Circuit (Guangzhou) Limited,1.5-2万,成都·崇州市,8-9年,本科,外资（欧美）,10000人以上,,https://jobs.51job.com/chengdu/142988951.html?s=sou_sou_soulb&t=0_0&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coUjcCZAdhUW0GYlQ3AWE.html
Python开发工程师,广州赛意信息科技股份有限公司,1-1.5万,深圳·龙华区,1年,本科,已上市,5000-10000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/135595307.html?s=sou_sou_soulb&t=0_0&req=1573007a3112c9d9418a1a8d80fd16ca,https://jobs.51job.com/all/coUzQGZ1M5VWgPagJl.html
Python开发工程师（高级）,加绩（上海）科技服务有限公司,1.6-1.8万,上海·浦东新区,5-7年,大专,已上市,150-500人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/143006342.html?s=sou_sou_soulb&t=0_0&req=1573007a3112c9d9418a1a8d80fd16ca,https://jobs.51job.com/all/coBGQAYFQyATtTNFY8Am4.html
Python高级开发工程师,深圳市同和信息技术有限公司,1.3-2万,深圳·南山区,5-7年,大专,民营,1000-5000人,计算机软件,https://jobs.51job.com/shenzhen/147589816.html?s=sou_sou_soulb&t=0_0&req=1573007a3112c9d9418a1a8d80fd16ca,https://jobs.51job.com/all/coVjMFYF89ADtRPFc3BWQ.html
软件测试工程师,深圳康普盾科技股份有限公司,1-1.8万,深圳·龙华区,1年,大专,已上市,150-500人,机械/设备/重工,https://jobs.51job.com/shenzhen/148310055.html?s=sou_sou_soulb&t=0_0&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coBWAGYQBiVW8AZgRgUDU.html
算法VP,杭州联钦科技有限公司,8-13万·14薪,深圳,5-7年,博士,民营,150-500人,互联网/电子商务,https://jobs.51job.com/shenzhen/140551399.html?s=sou_sou_soulb&t=0_0&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coVTQAZgRnATcPbFA6XTA.html
数据分析师,北京览鸿科技有限公司,8千-1万,北京·顺义区,无需经验,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/qinhuangdao/141687919.html?s=sou_sou_soulb&t=0_0&req=38383e89b1d71dd0e0766b124b832d69,https://jobs.51job.com/all/coAmNQNgBrVWMHa1A0UDA.html
机器人应用软件工程师（中级）,上海捷勃特机器人有限公司,1.2-1.8万,上海·青浦区,3-4年,本科,民营,50-150人,机械/设备/重工,https://jobs.51job.com/shanghai/143806782.html?s=sou_sou_soulb&t=0_0&req=38383e89b1d71dd0e0766b124b832d69,https://jobs.51job.com/all/coVTVcPV47ATkHYwNjVjY.html
Python自动化测试(嵌入式）,思迹信息技术(苏州)有限公司,1-1.5万·13薪,上海·浦东新区,2年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/147452334.html?s=sou_sou_soulb&t=0_0&req=a2929202832cf63f4900acba441fd2bb,https://jobs.51job.com/all/coVTZWN1UyUmVTPlA7UzY.html
