职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
数据分析师,北京览鸿科技有限公司,8千-1万,北京·顺义区,无需经验,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/qinhuangdao/141687919.html?s=sou_sou_soulb&t=0_0&req=38383e89b1d71dd0e0766b124b832d69,https://jobs.51job.com/all/coAmNQNgBrVWMHa1A0UDA.html
Full Stack Engineer (数据分析方向）,HCL Technologies (Shanghai) Limited,2-3万·13薪,上海,5-7年,本科,外资（非欧美）,500-1000人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/144922067.html?s=sou_sou_soulb&t=0_0&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coA2cFYFMzAzoEYFQ1Vjs.html
数据分析师,慧算基因科技（上海）有限公司,1-2万,上海·浦东新区,3-4年,本科,民营,150-500人,制药/生物工程,https://jobs.51job.com/shanghai/142613289.html?s=sou_sou_soulb&t=0_0&req=576c2e21ab927fcb4c0b5077989aa8f5,https://jobs.51job.com/all/coCGlVMl46VWkCZ1AwAW0.html
物联网数据分析工程师,宜通世纪科技股份有限公司,1-1.6万,广州·天河区,3-4年,本科,已上市,10000人以上,计算机软件,https://jobs.51job.com/guangzhou/140445997.html?s=sou_sou_soulb&t=0_0&req=38383e89b1d71dd0e0766b124b832d69,https://jobs.51job.com/all/coBmJQN1MyVmpVMgJg.html
数据分析师,北京览鸿科技有限公司,8千-1万,北京·顺义区,无需经验,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/xiongan-xaxq/141797358.html?s=sou_sou_soulb&t=0_0&req=38383e89b1d71dd0e0766b124b832d69,https://jobs.51job.com/all/coAmNQNgBrVWMHa1A0UDA.html
数据挖掘工程师,四川神琥科技有限公司,8千-1.6万,成都·天府新区,2年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/chengdu/136690107.html?s=sou_sou_soulb&t=0_0&req=576c2e21ab927fcb4c0b5077989aa8f5,https://jobs.51job.com/all/coCW0CYVQwBz9SP1cxAmc.html
电商Python数据分析 五险一金,深圳市九行星科技有限公司,8千-1.3万,深圳·龙岗区,2年,本科,民营,500-1000人,贸易/进出口,https://jobs.51job.com/shenzhen/148335340.html?s=sou_sou_soulb&t=0_0&req=8ca8bee5ab28af035dcd9dfc2917ec1e,https://jobs.51job.com/all/coVjZdO1M3VmAPYw1vAWc.html
Python数据分析师,西安晟启科技有限公司,8千-1.3万,深圳·南山区,无需经验,本科,民营,少于50人,计算机软件,https://jobs.51job.com/wuhan/142553625.html?s=sou_sou_soulb&t=0_0&req=8ca8bee5ab28af035dcd9dfc2917ec1e,https://jobs.51job.com/all/coVjZUOVMzADkGZ1Y0VTk.html
财务数据分析师助理,深圳晟晰信息科技有限公司,6-9千,深圳·宝安区,1年,大专,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/143397140.html?s=sou_sou_soulb&t=0_0&req=4b3d518db3036c7db92bd8abb2e1a08c,https://jobs.51job.com/all/coUjMFYVUxBDkAZwxpVDA.html
数据分析师,上海欧泓贸易有限公司,8千-1万,上海·闵行区,1年,本科,民营,少于50人,贸易/进出口,https://jobs.51job.com/shanghai/142583339.html?s=sou_sou_soulb&t=0_0&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coAWRRMVEyDjhVOAJnXTA.html
数据采集,深圳乙人信息科技有限公司,1-1.3万,深圳·龙岗区,1年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/143129535.html?s=sou_sou_soulb&t=0_0&req=4b3d518db3036c7db92bd8abb2e1a08c,https://jobs.51job.com/all/coBWVSPwBhVmkDYFQwVTI.html
大数据开发工程师,北京市盈科律师事务所,7千-1万,北京·朝阳区,1年,本科,民营,5000-10000人,法律,https://jobs.51job.com/beijing/143358682.html?s=sou_sou_soulb&t=0_0&req=576c2e21ab927fcb4c0b5077989aa8f5,https://jobs.51job.com/all/coAWVXOwdkDjMBZAxsAWQ.html
数据分析师,北京览鸿科技有限公司,8千-1万,北京·顺义区,无需经验,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/cangzhou/141797359.html?s=sou_sou_soulb&t=0_0&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coAmNQNgBrVWMHa1A0UDA.html
大数据运维工程师,德特赛维技术有限公司,9千-1.4万,成都·青羊区,1年,本科,合资,50-150人,计算机软件,https://jobs.51job.com/chengdu/142214812.html?s=sou_sou_soulb&t=0_0&req=4b3d518db3036c7db92bd8abb2e1a08c,https://jobs.51job.com/all/coBWdWNVUyATpRPFA0UzI.html
