,Unnamed: 0,工作名称,薪资,公司名称,工作地点,学历,详情页链接
0,0,JAVA开发工程师（中级）,9000,北京阳光欣鹏智能电子设备有限公司,北京·昌平区,本科,https://jobs.51job.com/beijing/146656575.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
1,1,JAVA开发工程师（中级）,8500,大连晟杰信息技术有限公司,大连·高新园区,大专,https://jobs.51job.com/dalian/140219390.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
2,2,JAVA开发工程师（中级）,7500,湖南天砺信息技术有限公司,常州,本科,https://jobs.51job.com/changzhou/146968019.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
3,3,JAVA开发工程师（中级）,15000,宁波天安智能电网科技股份有限公司,宁波·象山县,本科,https://jobs.51job.com/ningbo/146691583.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
4,4,JAVA开发工程师（中级）,6000,南宁西岸枫谷商务数据有限公司,南宁,大专,https://jobs.51job.com/nanning/78065721.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
5,5,JAVA开发工程师（中级）,15000,汉堂软件工程（上海）有限公司,广州·白云区,本科,https://jobs.51job.com/guangzhou/141811760.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
6,6,JAVA开发工程师（中级）,17500,成都熙恩网络科技有限公司,成都·高新区,本科,https://jobs.51job.com/chengdu/139966337.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
7,7,JAVA开发工程师（中级）,9850,金蝶软件（中国）有限公司,深圳·南山区,本科,https://jobs.51job.com/shenzhen/146950402.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
8,8,JAVA开发工程师（中级）,8600,上海金指软件技术有限公司,上海·浦东新区,本科,https://jobs.51job.com/shanghai/78001739.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
9,9,JAVA开发工程师（中级）,10000,南京绛门信息科技股份有限公司,南京,本科,https://jobs.51job.com/nanjing/145211753.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
10,10,JAVA开发工程师（中级）,10500,重庆软维科技有限公司,杭州,本科,https://jobs.51job.com/nanjing/146949027.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
11,11,JAVA开发工程师（中级）,12000,上海飞信信息科技有限公司,上海·普陀区,大专,https://jobs.51job.com/shanghai/131612267.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
12,12,JAVA开发工程师（中级）,14000,儒拉玛特自动化技术（苏州）有限公司,苏州·工业园区,大专,https://jobs.51job.com/shanghai/137057779.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
13,13,JAVA开发工程师（中级）,11500,杭州友声科技股份有限公司,武汉·洪山区,本科,https://jobs.51job.com/wuhan/146954293.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
14,14,JAVA开发工程师（中级）,6600,上海艾佩菲宁互联网科技有限公司,上海·徐汇区,本科,https://jobs.51job.com/shanghai/141243749.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
15,15,JAVA开发工程师（中级）,10000,西安长河通讯有限责任公司,北京·朝阳区,大专,https://jobs.51job.com/beijing/146972909.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
16,16,JAVA开发工程师（中级）,2500,华平信息技术股份有限公司,深圳·龙岗区,大专,https://jobs.51job.com/shenzhen/146970617.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
17,17,JAVA开发工程师（中级）,7500,上海爱谱华顿电子科技（集团）有限公司,临沂·郯城县,大专,https://jobs.51job.com/linyi/145852347.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
18,18,JAVA开发工程师（中级）,10000,江苏通云交通发展有限公司,昆山,本科,https://jobs.51job.com/kunshan/143271440.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
19,19,JAVA开发工程师（中级）,12500,深圳市同益实业股份有限公司,深圳·宝安区,本科,https://jobs.51job.com/shenzhen/145759541.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
20,20,JAVA开发工程师（中级）,12000,成都华泰数智科技有限公司,成都·高新区,本科,https://jobs.51job.com/chengdu/111992060.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
21,21,JAVA开发工程师（中级）,17500,智器云南京信息科技有限公司,南京·雨花台区,本科,https://jobs.51job.com/nanjing/114741567.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
22,22,JAVA开发工程师（中级）,11250,广州赛意信息科技股份有限公司,深圳·龙华区,本科,https://jobs.51job.com/shenzhen/135299259.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
23,23,JAVA开发工程师（中级）,16500,上海全晓信息技术有限公司,镇江·润州区,大专,https://jobs.51job.com/yangzhou/146939338.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
24,24,JAVA开发工程师（中级）,12500,杭州友声科技股份有限公司,上海·浦东新区,本科,https://jobs.51job.com/shanghai/146954292.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
25,25,JAVA开发工程师（中级）,10500,南京云正数据科技有限公司,盐城·盐都区,大专,https://jobs.51job.com/nanjing/139269258.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
26,26,JAVA开发工程师（中级）,11750,武汉研课教育科技集团有限公司,深圳·南山区,本科,https://jobs.51job.com/shenzhen/146923665.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
27,27,JAVA开发工程师（中级）,6500,长沙市标创信息科技有限公司,长沙·开福区,大专,https://jobs.51job.com/changsha/122898022.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
28,28,JAVA开发工程师（中级）,7000,苏州路腾软件有限公司,苏州·工业园区,本科,https://jobs.51job.com/suzhou/108929085.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
29,29,JAVA开发工程师（中级）,16500,上海全晓信息技术有限公司,镇江·润州区,大专,https://jobs.51job.com/nanjing/146939337.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
30,30,JAVA开发工程师（中级）,16000,京北方信息技术股份有限公司,北京·朝阳区,本科,https://jobs.51job.com/beijing/146956729.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
31,31,JAVA开发工程师（中级）,11250,四川三维系统工程有限责任公司,成都·青羊区,大专,https://jobs.51job.com/chengdu/145373221.html?s=sou_sou_soulb&t=0_0&req=ef92b206595815093c0bbc2c390bcfe4
