,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
0,软件开发工程师-C,杭州宏杉科技股份有限公司,8750.0,深圳·南山区,3-4年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/shenzhen/147319546.html?s=sou_sou_soulb&t=0_0&req=fcc8abcc01c45f105bd25d3c4ea33a3b,https://jobs.51job.com/all/coAmZVNQdtBjpWMARhVDM.html
1,保底1万直招纯开车C证司机,苏州微微行汽车服务有限公司,12500.0,上海·闵行区,1年,初中及以下,外资（欧美）,50-150人,计算机软件,https://jobs.51job.com/shanghai/140541741.html?s=sou_sou_soulb&t=0_0&req=fcc8abcc01c45f105bd25d3c4ea33a3b,https://jobs.51job.com/all/coBGUBZ1EzDjdTMwZhAGA.html
2,85度C店员就近分配,四川伯程润锦信息技术有限公司,6000.0,上海·杨浦区,无需经验,,民营,,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/144251120.html?s=sou_sou_soulb&t=0_0&req=fcc8abcc01c45f105bd25d3c4ea33a3b,https://jobs.51job.com/all/coVjdSNQNoAjwBZwJkVzU.html
3,C&B Assistant(002711),巴斯夫（中国）有限公司,8000.0,上海,1年,本科,外资（欧美）,5000-10000人,,http://basf.51job.com/sc/show_job_detail.php?jobid=146981140,http://basf.51job.com
4,C/C++开发工程师,上海豪亿信息科技有限公司,9600.0,北京·海淀区,3-4年,大专,民营,500-1000人,通信/电信/网络设备,https://jobs.51job.com/beijing/146135459.html?s=sou_sou_soulb&t=0_0&req=fcc8abcc01c45f105bd25d3c4ea33a3b,https://jobs.51job.com/all/coUTJcMFIzADtUNgZgBWA.html
5,C端产品经理,IBM China Global Delivery Center,11300.0,合肥·包河区,8-9年,本科,外资（欧美）,500-1000人,计算机软件,https://jobs.51job.com/beijing/147584652.html?s=sou_sou_soulb&t=0_1&req=fcc8abcc01c45f105bd25d3c4ea33a3b,https://jobs.51job.com/all/coUTQCZ140Az4AYwBh.html
6,初/中级C\C++工程师,深圳市锐驰曼科技发展有限公司,11500.0,深圳·龙岗区,无需经验,本科,民营,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/122210633.html?s=sou_sou_soulb&t=0_0&req=fcc8abcc01c45f105bd25d3c4ea33a3b,https://jobs.51job.com/all/coBmRXNlExBTNRMgFnXDA.html
7,TYPE-C/线材工程师,深圳市博胜电子技术有限公司,8750.0,深圳·龙岗区,3-4年,大专,民营,50-150人,贸易/进出口,https://jobs.51job.com/shenzhen/128135690.html?s=sou_sou_soulb&t=0_0&req=fcc8abcc01c45f105bd25d3c4ea33a3b,https://jobs.51job.com/all/coBWVcOl46BT4OalEyVjE.html
8,c/c++开发工程师,任特利科技（深圳）有限公司,16500.0,深圳·龙华区,3-4年,本科,外资（欧美）,50-150人,家具/家电/玩具/礼品,https://jobs.51job.com/shenzhen/147921071.html?s=sou_sou_soulb&t=0_0&req=fcc8abcc01c45f105bd25d3c4ea33a3b,https://jobs.51job.com/all/coVTQCZVU2ADxWNVA7BWU.html
9,C/C++工程师,深圳市北科瑞声科技股份有限公司,17500.0,深圳·福田区,2年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shenzhen/146984355.html?s=sou_sou_soulb&t=0_0&req=fcc8abcc01c45f105bd25d3c4ea33a3b,https://jobs.51job.com/all/coCG1UOQJoU2pVNVMxBms.html
