,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
0,Junior C/C++ Develop Engineer-5524,瞬联软件科技（北京）有限公司 CIeNET Technologies,11500.0,南京·雨花台区,1年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/nanjing/147701751.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
1,嵌入式Linux c/c++工程师,成都市德科立菁锐光电子技术有限公司,8750.0,成都·郫都区,1年,本科,已上市,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/chengdu/146162441.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coUjJUNARiBjBRM1Y3UDA.html
2,c货运司机（新能源）短途城配,上海雷夏物流运输有限公司,12500.0,上海·青浦区,无需经验,,民营,少于50人,交通/运输/物流,https://jobs.51job.com/shanghai/148439719.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coCWgAZ1U2VmAObANgBWA.html
3,直招c牌司机送果蔬小家电,聘聘车拼拼货（广州）供应链有限公司,10000.0,广州·黄埔区,1年,初中及以下,民营,少于50人,交通/运输/物流,https://jobs.51job.com/foshan/147918068.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coAmNTMwJoVWgPbwxvVjs.html
4,高级C/C++开发工程师-5118,瞬联软件科技（北京）有限公司 CIeNET Technologies,10150.0,南京·雨花台区,5-7年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/nanjing/147701122.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
5,高薪招聘C照司机，急需5名,苏州远途货运代理有限公司,15000.0,苏州,无需经验,,外资（欧美）,,计算机软件,https://jobs.51job.com/suzhou/147842308.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coUTBcPwdjBzpUNAxpUzU.html
6,C本司机 上五险,石家庄德翔供应链管理有限公司,10000.0,石家庄,1年,,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shijiazhuang/148373543.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coB2ZcPwNmAjgEYARjVzI.html
7,Junior C/C++ Develop Engineer-5524,瞬联软件科技（北京）有限公司 CIeNET Technologies,11500.0,南京·雨花台区,1年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/nanjing/147701751.html?s=sou_sou_soulb&t=0_0&req=23b3473dc0e6c90f3a917c49c5a5e8bb,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
8,货车司机c照,惠州市顺联汽车销售服务有限公司,12500.0,惠州·惠城区,无需经验,,合资,少于50人,汽车,https://jobs.51job.com/huizhou/133339349.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coUTFVNAJoDzEHagVlUDM.html
9,Junior C/C++ Develop Engineer-5524,瞬联软件科技（北京）有限公司 CIeNET Technologies,11500.0,南京·雨花台区,1年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/nanjing/147701751.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
10,嵌入式Linux c/c++工程师,成都市德科立菁锐光电子技术有限公司,8750.0,成都·郫都区,1年,本科,已上市,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/chengdu/146162441.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coUjJUNARiBjBRM1Y3UDA.html
11,c货运司机（新能源）短途城配,上海雷夏物流运输有限公司,12500.0,上海·青浦区,无需经验,,民营,少于50人,交通/运输/物流,https://jobs.51job.com/shanghai/148439719.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coCWgAZ1U2VmAObANgBWA.html
12,直招c牌司机送果蔬小家电,聘聘车拼拼货（广州）供应链有限公司,10000.0,广州·黄埔区,1年,初中及以下,民营,少于50人,交通/运输/物流,https://jobs.51job.com/foshan/147918068.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coAmNTMwJoVWgPbwxvVjs.html
13,常熟T3出行C证驾驶员,大运通享（常熟）汽车服务有限公司,12000.0,常熟,无需经验,初中及以下,国企,500-1000人,交通/运输/物流,https://jobs.51job.com/changshu/144068269.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coUzJdPV81ATwDZQBkVjc.html
14,C照轻卡点对点驾驶员,重庆八匹马科技发展有限公司,7250.0,重庆·九龙坡区,无需经验,初中及以下,民营,50-150人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/chongqing/140456495.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coAWAHYQBiBD1VOVQ_BmI.html
15,高级C/C++开发工程师-5118,瞬联软件科技（北京）有限公司 CIeNET Technologies,10150.0,南京·雨花台区,5-7年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/nanjing/147701122.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
16,内衣厂急招C牌送货司机,东莞市亿茂供应链管理有限公司,13000.0,东莞·松山湖区,无需经验,,已上市,50-150人,,https://jobs.51job.com/dongguan/148122366.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coB2YCYVU_BTxVN1AwUTE.html
17,C本司机 上五险,石家庄德翔供应链管理有限公司,10000.0,石家庄,1年,,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shijiazhuang/148373543.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coB2ZcPwNmAjgEYARjVzI.html
18,货车司机c照,惠州市顺联汽车销售服务有限公司,12500.0,惠州·惠城区,无需经验,,合资,少于50人,汽车,https://jobs.51job.com/huizhou/133339349.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coUTFVNAJoDzEHagVlUDM.html
19,C/C++游戏开发助理,武汉展盛至腾科技有限公司,8000.0,武汉·洪山区,无需经验,大专,民营,50-150人,网络游戏,https://jobs.51job.com/wuhan/143307559.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coBWVTNVM4UWcCbwRnBmE.html
20,薪酬福利主管（C&B）,南京金斯瑞生物科技有限公司,8750.0,南京·江宁区,3-4年,本科,外资（非欧美）,1000-5000人,,https://jobs.51job.com/nanjing/143278836.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coUTYGYwJpDjVWMwRnXDw.html
21,Senior C&B Consultant -- CN and AP,西门子能源有限公司,17500.0,北京·朝阳区,5-7年,本科,外资（欧美）,1000-5000人,电气/电力/水利,https://jobs.51job.com/beijing/148408618.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coBmZcOVMwBjwHZ1cxAW0.html
22,C/C++软件工程师,深圳市世椿智能装备股份有限公司,8750.0,深圳·宝安区,1年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/dongguan/148349985.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coBGZSNV44DzMDYQFiUj4.html
23,Linux 应用开发工程师（C/C++ 方向）,皇虎测试科技（深圳）有限公司,7200.0,深圳·南山区,5-7年,本科,外资（非欧美）,50-150人,计算机软件,https://jobs.51job.com/shenzhen/146675475.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coBmZWOlAzDjQAYFQ_XT0.html
24,销售顾问（B/C端、双休近地铁）,寰才亚中国 GTG China,8750.0,广州·天河区,无需经验,大专,外资（欧美）,少于50人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/guangzhou/136124843.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coAGNdOV88ADdWMFY2BWU.html
25,C/C++软件工程师,武汉中科创新技术股份有限公司,17500.0,武汉·江夏区,3-4年,本科,民营,150-500人,仪器仪表/工业自动化,https://jobs.51job.com/wuhan/89714984.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coAWUCblc1ATYHZAxvUjA.html
26,C照面包车货运司机,重庆八匹马科技发展有限公司,6500.0,重庆·渝北区,1年,初中及以下,民营,50-150人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/chongqing/140457139.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coAWAHYQBiBD1VOVQ_BmI.html
27,嵌入式Linux c/c++工程师,成都市德科立菁锐光电子技术有限公司,8750.0,成都·郫都区,1年,本科,已上市,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/chengdu/146162441.html?s=sou_sou_soulb&t=0_0&req=23b3473dc0e6c90f3a917c49c5a5e8bb,https://jobs.51job.com/all/coUjJUNARiBjBRM1Y3UDA.html
28,内衣厂急招C牌送货司机,东莞市亿茂供应链管理有限公司,13000.0,东莞·松山湖区,无需经验,,已上市,50-150人,,https://jobs.51job.com/dongguan/148122366.html?s=sou_sou_soulb&t=0_0&req=1c93d9515795cef42bd89db7155cb1a5,https://jobs.51job.com/all/coB2YCYVU_BTxVN1AwUTE.html
29,常熟T3出行C证驾驶员,大运通享（常熟）汽车服务有限公司,12000.0,常熟,无需经验,初中及以下,国企,500-1000人,交通/运输/物流,https://jobs.51job.com/changshu/144068269.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coUzJdPV81ATwDZQBkVjc.html
30,Junior C/C++ Develop Engineer-5524,瞬联软件科技（北京）有限公司 CIeNET Technologies,11500.0,南京·雨花台区,1年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/nanjing/147701751.html?s=sou_sou_soulb&t=0_0&req=fabb680628e55f25897558bf148f9b62,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
31,c货运司机（新能源）短途城配,上海雷夏物流运输有限公司,12500.0,上海·青浦区,无需经验,,民营,少于50人,交通/运输/物流,https://jobs.51job.com/shanghai/148439719.html?s=sou_sou_soulb&t=0_0&req=23b3473dc0e6c90f3a917c49c5a5e8bb,https://jobs.51job.com/all/coCWgAZ1U2VmAObANgBWA.html
32,C照轻卡点对点驾驶员,重庆八匹马科技发展有限公司,7250.0,重庆·九龙坡区,无需经验,初中及以下,民营,50-150人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/chongqing/140456495.html?s=sou_sou_soulb&t=0_0&req=701c12d6ce5a18f82d0cda3abf94c189,https://jobs.51job.com/all/coAWAHYQBiBD1VOVQ_BmI.html
33,直招c牌司机送果蔬小家电,聘聘车拼拼货（广州）供应链有限公司,10000.0,广州·黄埔区,1年,初中及以下,民营,少于50人,交通/运输/物流,https://jobs.51job.com/foshan/147918068.html?s=sou_sou_soulb&t=0_0&req=23b3473dc0e6c90f3a917c49c5a5e8bb,https://jobs.51job.com/all/coAmNTMwJoVWgPbwxvVjs.html
34,高级C/C++开发工程师-5118,瞬联软件科技（北京）有限公司 CIeNET Technologies,10150.0,南京·雨花台区,5-7年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/nanjing/147701122.html?s=sou_sou_soulb&t=0_0&req=23b3473dc0e6c90f3a917c49c5a5e8bb,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
