,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
0,后端开发工程师 - 电商数据产品方向,字节跳动,3750.0,上海,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/129366554.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
1,资深嵌入式软件经理,上海视微医疗科技有限公司,3500.0,上海·静安区,5-7年,本科,民营,50-150人,,https://jobs.51job.com/shanghai/147693804.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coCGlVNl85VWpSNgNkVjs.html
2,GMP Auditor,斯洛文尼亚克尔卡新梅斯托制药股份有限公司上海代表处,12500.0,上海·浦东新区,5-7年,本科,外企代表处,少于50人,制药/生物工程,https://jobs.51job.com/shanghai/119556219.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coVjMFaFU0BjwGYAFiXT8.html
3,Devops 研发工程师,字节跳动,12000.0,北京,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/120947667.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
4,云原生运维,上海得逸信息技术有限公司,17000.0,佛山·顺德区,5-7年,大专,民营,1000-5000人,,https://jobs.51job.com/shenzhen/148382307.html?s=sou_sou_soulb&t=0_1&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coCGtVOQBqUWcOaw1uVjc.html
5,运维工程师,深圳格隆汇信息科技有限公司,12500.0,深圳·南山区,1年,本科,民营,150-500人,金融/投资/证券,https://jobs.51job.com/shenzhen/130274383.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coUjAHZ1U2VG8BZwNiUT0.html
6,Java后台开发工程师,广州市海诚国际货运代理有限公司,9000.0,广州·南沙区,2年,本科,民营,500-1000人,交通/运输/物流,https://jobs.51job.com/guangzhou/141542220.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coAmZXNFMzUWYDZgFgUDc.html
7,HR Generalist,欧时电子元件（上海）有限公司,8600.0,上海,5-7年,本科,外资（欧美）,150-500人,批发/零售,https://jobs.51job.com/shanghai/148418506.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coUzQCZwNoDjIGaw1t.html
8,嵌入式软件工程师,广东畅视科技有限公司,14000.0,广州·黄埔区,3-4年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/128742533.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coVjVdPAdsDjIBYQxoB2o.html
9,密码软件开发工程师,深圳市纽创信安科技开发有限公司,12000.0,深圳·南山区,3-4年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/144839042.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coUjdXNlIwAjQGZAVgUzU.html
10,业务测试,上海微创软件股份有限公司,10500.0,上海·杨浦区,2年,本科,合资,10000人以上,外包服务,https://jobs.51job.com/shanghai/147653762.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coVTFRNF49DzUGagZt.html
11,资深PHP开发工程师,上海麦糖信息科技有限公司,10250.0,上海·浦东新区,5-7年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shanghai/147740841.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coB2dcMF44AjVSM1A7AWc.html
12,Web后端开发工程师,上海聪链信息科技有限公司,9000.0,上海·浦东新区,2年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/136505124.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coB2RTNV44VmsGYFYzUDY.html
13,（后端）开发工程师,上海艾三信息科技有限公司,12500.0,上海·普陀区,3-4年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/131305427.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coUzRRPAdkVmxWMQ1oUj8.html
14,测试工具开发工程师,万达宝软件（深圳）有限公司,7650.0,深圳·南山区,3-4年,本科,外资（非欧美）,150-500人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shenzhen/147158368.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coB2BcPANnUmsPbgRj.html
15,Linux开发工程师,牙木科技股份有限公司,3250.0,上海,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/133238502.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coUjYHYlc2U2hUNAFqUDI.html
16,软件开发工程师,北京翼辉信息技术有限公司,10400.0,北京,5-7年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/beijing/147511571.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coVTAHa1U0DzFWOlY0VDk.html
17,Java开发工程师（全英文线上面试）,慧博云通科技股份有限公司,15000.0,广州,3-4年,本科,已上市,5000-10000人,计算机软件,https://jobs.51job.com/guangzhou/147157729.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coVDdSNlE7DjdTPgNjUzM.html
18,IS-web后端开发工程师(Golang),腾讯瑞德铭（重庆）科技发展有限公司,9000.0,成都·高新区,2年,本科,民营,,计算机软件,https://jobs.51job.com/chengdu/147527070.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coA2IFZlA3BzgEZwJkXTo.html
19,密码产品开发工程师,深圳市纽创信安科技开发有限公司,12000.0,深圳·南山区,2年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/142007127.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coUjdXNlIwAjQGZAVgUzU.html
20,流媒体开发工程师,广州海格星航信息科技有限公司,9250.0,广州·黄埔区,3-4年,本科,国企,150-500人,计算机软件,https://jobs.51job.com/guangzhou/138751552.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coUzFQNV41UWYDbgJkXTk.html
21,后端开发工程师,广州市方驰电子有限公司,9000.0,广州,1年,大专,民营,50-150人,新能源,https://jobs.51job.com/guangzhou/139135404.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coA2dXNl86U2sDZ1A3BmA.html
22,IS-web后端开发工程师(Golang),腾讯瑞德铭（重庆）科技发展有限公司,9000.0,成都·高新区,2年,本科,民营,,计算机软件,https://jobs.51job.com/shenzhen/147527069.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coA2IFZlA3BzgEZwJkXTo.html
23,密码产品开发工程师,深圳市纽创信安科技开发有限公司,11750.0,北京·海淀区,1年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/beijing/146085315.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coUjdXNlIwAjQGZAVgUzU.html
24,高级服务器开发工程师,上海博阳新能源科技股份有限公司,9000.0,上海·松江区,3-4年,本科,已上市,50-150人,,https://jobs.51job.com/shanghai/146894955.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coUTNQNQJoUm1VM1M0BWg.html
25,golang游戏服务器开发,上海晓枫网络科技有限公司,9000.0,上海·徐汇区,3-4年,本科,民营,150-500人,网络游戏,https://jobs.51job.com/shanghai/131138893.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coAmcFY1YzADgPbFcyUDU.html
26,软件开发工程师,杭州旭天云科技有限公司,8600.0,成都·武侯区,3-4年,本科,民营,500-1000人,,https://jobs.51job.com/chengdu/147924944.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coUjIFZFc8AzsHawRjAWE.html
27,高级运维开发工程师,文思海辉技术有限公司,3500.0,上海·徐汇区,8-9年,本科,外资（欧美）,10000人以上,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/146671291.html?s=sou_sou_soulb&t=0_0&req=5d68009490e170e8dd40e1b50090f637,https://jobs.51job.com/all/coUjcCYFE2ATsCY1YyVjs.html
28,资深游戏服务器（C++，go）,上海良砥企业管理有限公司,4250.0,上海·浦东新区,3-4年,大专,民营,少于50人,,https://jobs.51job.com/shanghai/123021532.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coVTcGawVmU2hVNQ1nAGU.html
29,HTTP框架(Go/Rust)研发工程师,字节跳动,4500.0,北京,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/144054641.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
30,go研发工程师,上海金电网安科技有限公司,11500.0,上海·浦东新区,1年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/135057300.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coBmFVNlI2BDhSNAJh.html
31,大数据工程师（电商行业）,字节跳动,3250.0,北京,2年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/113613859.html?s=sou_sou_soulb&t=0_0&req=e5d4bd9f86aa0a9605a3551edadcfdd8,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
32,（汽车项目）CMDB运维开发,加绩（上海）科技服务有限公司,18000.0,上海·嘉定区,5-7年,大专,已上市,150-500人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/143716026.html?s=sou_sou_soulb&t=0_0&req=e5d4bd9f86aa0a9605a3551edadcfdd8,https://jobs.51job.com/all/coBGQAYFQyATtTNFY8Am4.html
33,Windows C/C++软件开发工程师,易士软件（上海）有限公司,12000.0,上海·徐汇区,2年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shanghai/147397557.html?s=sou_sou_soulb&t=0_0&req=e5d4bd9f86aa0a9605a3551edadcfdd8,https://jobs.51job.com/all/coUzZcOVMxVmgBZVEyXD0.html
34,前端研发工程师,字节跳动,13000.0,深圳,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/122414392.html?s=sou_sou_soulb&t=0_0&req=ad968571174ba43f2c6d2b7794dc8792,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
35,产品经理,重庆微创软件有限公司,14000.0,成都·锦江区,5-7年,本科,合资,150-500人,,https://jobs.51job.com/chengdu/146983652.html?s=sou_sou_soulb&t=0_0&req=ad968571174ba43f2c6d2b7794dc8792,https://jobs.51job.com/all/coB2RXNFMwAThSNlE1BmQ.html
36,Digital Workplace Services Manager,STMicroelectronics Ltd.,42500.0,深圳·南山区,5-7年,本科,外资（欧美）,10000人以上,,https://jobs.51job.com/shenzhen/143926635.html?s=sou_sou_soulb&t=0_0&req=ad968571174ba43f2c6d2b7794dc8792,https://jobs.51job.com/all/coBmVWNAdkUWhWN1AyAWU.html
37,服务端开发工程师 - 基础架构,字节跳动,12000.0,北京,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/131621121.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
38,Java,德科信息有限公司,11500.0,广州·黄埔区,3-4年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/guangzhou/148149041.html?s=sou_sou_soulb&t=0_0&req=ad968571174ba43f2c6d2b7794dc8792,https://jobs.51job.com/all/coVDFdOFMzDjIDYANgAm8.html
39,测试工具开发工程师,字节跳动,10100.0,深圳,2年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/130487248.html?s=sou_sou_soulb&t=0_0&req=ad968571174ba43f2c6d2b7794dc8792,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
40,GO开发工程师,上海博为峰信息技术有限公司,11500.0,北京·西城区,1年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/beijing/138734570.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coVjNWMQNgBjtUMgFlXD0.html
41,GO开发工程师-H4140R,奇虎360科技有限公司,11500.0,成都·温江区,3-4年,本科,已上市,5000-10000人,互联网/电子商务,https://jobs.51job.com/chengdu/147653340.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coUjwBZVI1VWMDblA1.html
42,Go语言开发工程师-飞书,字节跳动,12000.0,深圳,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shenzhen/121426504.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
43,SAP Senior SD Consultant,海口星宸华诺文化创意有限公司,2850.0,上海·奉贤区,5-7年,本科,民营,150-500人,,https://jobs.51job.com/shanghai/146790184.html?s=sou_sou_soulb&t=0_0&req=e5d4bd9f86aa0a9605a3551edadcfdd8,https://jobs.51job.com/all/coUjMHZ1YwBzoHZ1Y0UjM.html
44,A-go开发工程师,文思海辉技术有限公司,14000.0,北京,3-4年,本科,外资（欧美）,10000人以上,计算机服务(系统、数据服务、维修),https://jobs.51job.com/beijing/145211829.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coUjcCYFE2ATsCY1YyVjs.html
45,（资深）Golang后端开发工程师—法务—飞书企业应用,字节跳动,3750.0,北京,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/139245758.html?s=sou_sou_soulb&t=0_0&req=e5d4bd9f86aa0a9605a3551edadcfdd8,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
46,Service Sales -Training Center,帝肯（上海）实验器材有限公司,17500.0,上海,3-4年,本科,外资（欧美）,50-150人,制药/生物工程,https://jobs.51job.com/shanghai/144775110.html?s=sou_sou_soulb&t=0_0&req=e5d4bd9f86aa0a9605a3551edadcfdd8,https://jobs.51job.com/all/coUzdRMQdmDjIOYwZtUTw.html
47,PHP开发工程师,周生生（中国）商业有限公司,7500.0,广州,3-4年,本科,外资（非欧美）,5000-10000人,批发/零售,https://jobs.51job.com/guangzhou/147592831.html?s=sou_sou_soulb&t=0_0&req=e5d4bd9f86aa0a9605a3551edadcfdd8,https://jobs.51job.com/all/coCGsAZgBrAjQOYgJh.html
48,Go开发工程师,上海互普网络科技有限公司,12500.0,上海,1年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/145131326.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coUTVVOFA6BDgHZg1r.html
49,Go语言工程师,上海鑫锖机电工程有限公司,12500.0,上海·嘉定区,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/143651431.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coUjFWNwBnDzBSMVQxUzc.html
50,124450高级运维开发工程师（机器学习平台）,深圳市大疆创新科技有限公司,3250.0,深圳·南山区,3-4年,本科,民营,10000人以上,航天/航空,https://jobs.51job.com/shenzhen/146654584.html?s=sou_sou_soulb&t=0_0&req=ad968571174ba43f2c6d2b7794dc8792,https://jobs.51job.com/all/coUzRUOQRlUWwFYlc8XD4.html
51,ERP开发经理,屈臣氏个人用品商店有限公司,8750.0,广州·越秀区,8-9年,本科,外资（非欧美）,10000人以上,,https://jobs.51job.com/guangzhou/147301173.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coUjFSPlYyBz0GYwFk.html
52,安全研发工程师（Golang/C++）,赛姆科技（广东）有限公司,9000.0,广州·海珠区,3-4年,大专,民营,150-500人,计算机软件,https://jobs.51job.com/guangzhou/144380669.html?s=sou_sou_soulb&t=0_0&req=ac154bbac93c00bac4126f930a6401ba,https://jobs.51job.com/all/coCWhUMwRgBDNWMFMyXTA.html
53,Go开发工程师/知名企业,上海统才企业管理咨询服务有限公司,10250.0,上海·徐汇区,2年,本科,民营,150-500人,多元化业务集团公司,https://jobs.51job.com/shanghai/147204828.html?s=sou_sou_soulb&t=0_0&req=24ab3f5c62d422f1ca3203761a0afe4e,https://jobs.51job.com/all/coUjJSMAdjDzZVMFY3VTE.html
54,WEB工程师,广州视鹏科技有限公司,7100.0,广州,1年,本科,民营,少于50人,,https://jobs.51job.com/guangzhou/146747886.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coAGEBYFAzDjgEZQBmBms.html
55,餐厅服务员,上海亨昌实业有限公司金桥红枫万豪酒店,3750.0,上海·浦东新区,无需经验,,民营,150-500人,酒店/旅游,https://jobs.51job.com/shanghai/145511591.html?s=sou_sou_soulb&t=0_0&req=0d3d91bc570740abad4d45ff20e1dcb1,https://jobs.51job.com/all/coVTAGZQNjADdUNwNlVzs.html
56,GOlang,广州灵思互联网科技股份有限公司,17500.0,深圳·南山区,3-4年,大专,民营,少于50人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/148075161.html?s=sou_sou_soulb&t=0_0&req=ac154bbac93c00bac4126f930a6401ba,https://jobs.51job.com/all/coAWBTN1Q_Bz4BYAJhB2Q.html
