,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
0,PHP工程师,广州美云美服科技有限公司,7500.0,广州·越秀区,1年,本科,民营,150-500人,美容/保健,https://jobs.51job.com/guangzhou/140455573.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coA2FUNF41UWkBYQdiUzc.html
1,PHP,成都惠乐聚网络科技有限公司,11000.0,成都·金牛区,3-4年,本科,民营,少于50人,通信/电信/网络设备,https://jobs.51job.com/chengdu/147841220.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coBmcGZ1E2BTMBZQFqB2s.html
2,PHP架构师,上海赢他网络科技有限公司,11500.0,广州·番禺区,3-4年,本科,合资,150-500人,贸易/进出口,https://jobs.51job.com/guangzhou/147891133.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coBmNcMFE0ADdSNVMyBmI.html
3,PHP软件工程师,易恩孚商务咨询（芜湖）有限公司,15500.0,深圳,3-4年,本科,外资（欧美）,少于50人,互联网/电子商务,https://jobs.51job.com/shenzhen/147662064.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coBWEHZgNjAzUCZVY8AWM.html
4,PHP开发工程师,成都初五科技有限公司,10000.0,成都·高新区,1年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/chengdu/147532361.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coUzBTN180VW4GZgdlXT8.html
5,PHP 工程师（全栈方向）,上海美声服饰辅料有限公司,10000.0,上海·闵行区,3-4年,大专,外资（非欧美）,1000-5000人,贸易/进出口,https://jobs.51job.com/shanghai/147679906.html?s=sou_sou_soulb&t=1_0&req=8824a0a16789eca96eec17ce65455421,https://jobs.51job.com/all/coBmFVMwBnADwPbQRm.html
6,软件开发工程师 - PHP,佛山市铭信诚润滑油有限公司,12500.0,海宁,3-4年,大专,民营,50-150人,汽车零配件,https://jobs.51job.com/shenzhen/146957222.html?s=sou_sou_soulb&t=0_1&req=eb952bb075afe51bf090ec3eff5d8f7f,https://jobs.51job.com/all/coBWBWO1AxBjgEZgBjUDQ.html
7,PHP工程师,上海易班企业发展有限公司,15500.0,上海·杨浦区,10年以上,本科,国企,150-500人,互联网/电子商务,https://jobs.51job.com/shanghai/144366169.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coBmRTNFM3BTNRNwZiUz4.html
8,PHP开发工程师,成都迪翔光科技有限公司,13000.0,成都·高新区,2年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/chengdu/147684698.html?s=sou_sou_soulb&t=0_0&req=8824a0a16789eca96eec17ce65455421,https://jobs.51job.com/all/coBGUHYFI0DjVVNFE2BWE.html
9,PHP后端开发工程师,广州多益网络股份有限公司,13500.0,广州·黄埔区,无需经验,,民营,1000-5000人,互联网/电子商务,https://jobs.51job.com/guangzhou/140596801.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coB2NcOF47UWwAY1AxXDA.html
10,PHP开发工程师,链式反应（广州）区块链科技有限公司,15000.0,广州·越秀区,5-7年,大专,民营,少于50人,互联网/电子商务,https://jobs.51job.com/guangzhou/139579721.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coUTIHZFA0ATcCZwdhB2Q.html
11,PHP工程师,广东尊一互动科技有限公司,12500.0,广州·越秀区,3-4年,本科,合资,150-500人,,https://jobs.51job.com/guangzhou/145760359.html?s=sou_sou_soulb&t=0_0&req=8824a0a16789eca96eec17ce65455421,https://jobs.51job.com/all/coA2BUNQNlBDsOaFQ0BWg.html
12,PHP高级开发工程师,上海翼得营销策划有限公司,16000.0,上海·普陀区,3-4年,本科,合资,150-500人,互联网/电子商务,https://jobs.51job.com/shanghai/148331076.html?s=sou_sou_soulb&t=0_0&req=8824a0a16789eca96eec17ce65455421,https://jobs.51job.com/all/coCW0AYVYzBjoCZ1E1AGM.html
13,PHP(或JAVA）开发工程师,广州如约数据科技有限公司,15000.0,广州·荔湾区,5-7年,本科,国企,50-150人,交通/运输/物流,https://jobs.51job.com/guangzhou/147286516.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coVTddOV8_ATkDZQdlVDY.html
14,PHP开发工程师,灏冉舟网络有限公司,12500.0,上海·静安区,2年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shanghai/146120843.html?s=sou_sou_soulb&t=0_0&req=20e7ca454f3e30c31ed4c36590b89bf4,https://jobs.51job.com/all/coAmFdP1E6DzMEZgNkVDQ.html
15,PHP开发工程师,上海游盾网络科技有限公司,17500.0,上海·普陀区,3-4年,本科,民营,少于50人,通信/电信/网络设备,https://jobs.51job.com/shanghai/136119227.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coAWJcOVE3BzxTMwVgB2A.html
16,PHP开发工程师,网是科技股份有限公司,15000.0,深圳·南山区,3-4年,本科,民营,500-1000人,通信/电信/网络设备,https://jobs.51job.com/shenzhen/147638147.html?s=sou_sou_soulb&t=0_0&req=e460742f9e5e82664ef4128b741c17ec,https://jobs.51job.com/all/coBmJVOVQ2BD1UNFMyAWU.html
17,PHP开发工程师,深圳市双佳医疗科技有限公司,15000.0,深圳·南山区,3-4年,本科,民营,150-500人,计算机硬件,https://jobs.51job.com/shenzhen/122420109.html?s=sou_sou_soulb&t=0_0&req=aa68cba110e0673895a590b149db310f,https://jobs.51job.com/all/coBWdQNQJpVGIFaARvAGY.html
18,PHP开发工程师,米开罗那（上海）工业智能科技股份有限公司,8500.0,上海·金山区,2年,本科,民营,150-500人,汽车,https://jobs.51job.com/shanghai/137638904.html?s=sou_sou_soulb&t=0_0&req=eb952bb075afe51bf090ec3eff5d8f7f,https://jobs.51job.com/all/coUTUAZF86DjlRMgBmAmQ.html
19,PHP开发工程师,深圳市榜中榜计算机有限公司,9500.0,深圳·龙岗区,1年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shenzhen/132126894.html?s=sou_sou_soulb&t=0_0&req=8824a0a16789eca96eec17ce65455421,https://jobs.51job.com/all/coAGRXNwJiDjcBbFMzUDw.html
20,PHP开发工程师,广州复能基因有限公司,7500.0,广州·黄埔区,1年,本科,合资,150-500人,,https://jobs.51job.com/guangzhou/55896869.html?s=sou_sou_soulb&t=0_0&req=0ddc7fa18fd86fce522c43c8a2147b30,https://jobs.51job.com/all/coVjFTNlMyBT5WM1Ew.html
21,软件开发工程师 (PHP),飞域（广州）国际贸易有限公司,12500.0,广州·天河区,2年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/tianjin/147083071.html?s=sou_sou_soulb&t=0_0&req=0ddc7fa18fd86fce522c43c8a2147b30,https://jobs.51job.com/all/coUTFUNF81UmwPb1EzUTc.html
22,PHP网站开发工程师,上海研洁建筑材料有限公司,9000.0,上海,2年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shanghai/111391649.html?s=sou_sou_soulb&t=0_0&req=0ddc7fa18fd86fce522c43c8a2147b30,https://jobs.51job.com/all/coBmJVOVUyVm8OagFhBWA.html
23,PHP开发工程师,上海沣海智能科技有限公司,12500.0,上海·浦东新区,2年,本科,合资,150-500人,金融/投资/证券,https://jobs.51job.com/shanghai/109551857.html?s=sou_sou_soulb&t=0_0&req=20e7ca454f3e30c31ed4c36590b89bf4,https://jobs.51job.com/all/coVjUAZwBjAjlVN1YwAWE.html
24,PHP开发工程师,广州市威创网络科技有限公司,15000.0,广州·番禺区,3-4年,本科,民营,50-150人,网络游戏,https://jobs.51job.com/guangzhou/146123282.html?s=sou_sou_soulb&t=0_0&req=428cb94db9c85d43ba7baeb63c6c9238,https://jobs.51job.com/all/coUzdTMgVhATdWM1MwUDQ.html
25,PHP,深圳市爱购城供应链有限公司,13000.0,深圳·龙岗区,1年,本科,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shenzhen/147376880.html?s=sou_sou_soulb&t=0_0&req=aa68cba110e0673895a590b149db310f,https://jobs.51job.com/all/coVDUFY144AT8EZwdsUDc.html
26,PHP开发工程师,点奇互联（北京）科技有限公司,11500.0,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/140832097.html?s=sou_sou_soulb&t=0_0&req=eb952bb075afe51bf090ec3eff5d8f7f,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
