职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Java开发工程师,内蒙古钛驰新迪商务有限公司,8千-1.5万·13薪,北京·朝阳区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/xiongan-xaxq/141354391.html?s=sou_sou_soulb&t=0_0&req=231522b271484ae000ad8f2fe881a242,https://jobs.51job.com/all/coVDVXMFIxVmAOaQZlBWU.html
Java开发,点奇互联（北京）科技有限公司,8千-1.5万,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/hengshui/141154216.html?s=sou_sou_soulb&t=0_0&req=231522b271484ae000ad8f2fe881a242,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
Java开发工程师,归一互生集团有限公司,1.5-3万,深圳·福田区,3-4年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shenzhen/134901080.html?s=sou_sou_soulb&t=0_0&req=b445a788a235a2a7398ca0db5fc35d4b,https://jobs.51job.com/all/coA2NUNwdnATwFZlE6UTU.html
JAVA软件工程师,苏州维莱科软件有限公司,1.5-2.5万,上海·嘉定区,5-7年,大专,民营,少于50人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/129565312.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coAGUHY1QzATsOYlAzBmM.html
java开发实习生,成都臻琰科技有限公司,3.5-5千·13薪,成都·高新区,无需经验,大专,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/147667842.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coVjYFYFUxBTtSMVc3B2I.html
Java开发工程师,深圳华腾生物医疗电子有限公司,1-2万,深圳·龙岗区,3-4年,大专,民营,50-150人,,https://jobs.51job.com/shenzhen/148477363.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coVDEGYwNnBTxTMlE1UDI.html
Java后端,德科信息有限公司,2-2.5万,深圳·南山区,3-4年,大专,民营,1000-5000人,计算机软件,https://jobs.51job.com/shenzhen/138697704.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coVDFdOFMzDjIDYANgAm8.html
Java开发,上海舟恩信息技术有限公司,1.4-1.6万,上海·浦东新区,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/148578087.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coAmcHZ1MwBTtSNlY1VDA.html
Java开发工程师,四川金顶（集团）股份有限公司,1.2-1.7万,成都·高新区,3-4年,本科,已上市,150-500人,采掘业/冶炼,https://jobs.51job.com/chengdu/148575705.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coCWlWMgNhAzRSNAJnVzM.html
JAVA双休/965,上海复深蓝软件股份有限公司,1.1-1.8万·13薪,上海·浦东新区,5-7年,本科,已上市,1000-5000人,计算机软件,https://jobs.51job.com/shanghai/145217516.html?s=sou_sou_soulb&t=0_0&req=d71315840635620802938670d13f49c6,https://jobs.51job.com/all/coA2RXMwBhBzsGYFMz.html
JAVA软件工程师（五险一金+双休）,广州高勤计算机科技有限公司,4-8千,广州·天河区,1年,大专,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/146166502.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coAGVdOABmDzEOaQRi.html
Java高级开发工程师,上海柏科管理咨询股份有限公司,1.6-2.2万,上海·虹口区,5-7年,本科,民营,50-150人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/138571975.html?s=sou_sou_soulb&t=0_0&req=d71315840635620802938670d13f49c6,https://jobs.51job.com/all/coAWQCblc2AD8AYVc0AmY.html
高级Java工程师(J10381),深圳昂楷科技有限公司,2-2.5万·14薪,深圳,5-7年,本科,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/127707289.html?s=sou_sou_soulb&t=0_0&req=b445a788a235a2a7398ca0db5fc35d4b,https://jobs.51job.com/all/coUzZTNQNkDzQFZlcxUzQ.html
Java开发工程师,内蒙古钛驰新迪商务有限公司,8千-1.5万·13薪,北京·朝阳区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/shijiazhuang/141354392.html?s=sou_sou_soulb&t=0_0&req=b445a788a235a2a7398ca0db5fc35d4b,https://jobs.51job.com/all/coVDVXMFIxVmAOaQZlBWU.html
Java开发工程师,北京网安通达科技有限公司,8千-1.5万·13薪,北京·昌平区,1年,大专,民营,,计算机软件,https://jobs.51job.com/hengshui/146260516.html?s=sou_sou_soulb&t=0_0&req=b445a788a235a2a7398ca0db5fc35d4b,https://jobs.51job.com/all/coVDUBYF87Az1WMAJgUTA.html
Java开发工程师,上海高凯信息科技有限公司,1.5-2.2万·13薪,上海·杨浦区,3-4年,本科,民营,少于50人,通信/电信/网络设备,https://jobs.51job.com/shanghai/105851089.html?s=sou_sou_soulb&t=0_0&req=f932383d807ffb2af6422189cff585c1,https://jobs.51job.com/all/coAmYFY1Y8UmkCb1AzUTc.html
中高级Java开发工程师,上海英方软件股份有限公司,2.2-4.4万·14薪,北京·朝阳区,5-7年,本科,已上市,150-500人,计算机软件,https://jobs.51job.com/shanghai/145848817.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coBmRSMVAwBT0DYQRuVzo.html
.net及java客户化开发工程师,广州市辉海计算机科技有限公司,4-7千,广州·天河区,1年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/127014038.html?s=sou_sou_soulb&t=0_0&req=d71315840635620802938670d13f49c6,https://jobs.51job.com/all/coB2MGYwVjADsPaQBiXTA.html
Java技术经理/专家/架构师,上海本翼资产管理有限公司,2-2.5万,上海·浦东新区,5-7年,本科,民营,少于50人,,https://jobs.51job.com/shanghai/147665551.html?s=sou_sou_soulb&t=0_0&req=b445a788a235a2a7398ca0db5fc35d4b,https://jobs.51job.com/all/coAGNUMgdiVGIAZQdgBWM.html
JAVA开发技术员-宁德,宁德时代新能源科技股份有限公司,8千-1万,宁德,1年,本科,民营,10000人以上,汽车,https://jobs.51job.com/shenzhen/146039171.html?s=sou_sou_soulb&t=0_1&req=231522b271484ae000ad8f2fe881a242,https://jobs.51job.com/all/coVjNRPAdnVmkGZVMyAGA.html
Java开发工程师,北京金之盾信息技术有限公司,1.2-1.8万·13薪,北京·海淀区,3-4年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/148527847.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coVjNSN1UwUm4BbVA7XDo.html
Java高级开发工程师,中通服软件科技有限公司,1.5-2.5万·14薪,上海·浦东新区,3-4年,本科,国企,500-1000人,通信/电信/网络设备,https://jobs.51job.com/shanghai/148529658.html?s=sou_sou_soulb&t=0_0&req=8c4bed0f303372a4da3f4f44bb223aa6,https://jobs.51job.com/all/coUTIFZlA1AD5UM1cyAmU.html
