,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
0,Java软件工程师,深圳市流明电子有限公司,9500.0,深圳·南山区,2年,大专,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/148323373.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coA2YFYQdmBjwPYgBgVDY.html
1,JAVA开发,上海亿通国际股份有限公司,14000.0,上海,2年,本科,国企,150-500人,交通/运输/物流,https://jobs.51job.com/shanghai/146320796.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coAGdWN147AT4FYFAw.html
2,Java开发工程师,上海九雏信息技术有限公司,12500.0,上海·浦东新区,2年,本科,民营,少于50人,互联网/电子商务,https://jobs.51job.com/shanghai/131355964.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coAWQFZwNiVW0PawFgUjI.html
3,Java开发,上海栈略数据技术有限公司,14500.0,北京,3-4年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/beijing/148380150.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coAmBTNFYzDzJVNQdsUj4.html
4,Java开发工程师-移互创新部,中数通信息有限公司,12500.0,广州,3-4年,大专,国企,1000-5000人,通信/电信/网络设备,https://jobs.51job.com/guangzhou/145216974.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coVDAAYANhUm0.html
5,高级Java开发工程师,北京智鼎管理咨询有限公司,18000.0,北京,5-7年,本科,合资,50-150人,,https://jobs.51job.com/beijing/121171608.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coAWQGZFcxVGsGZAFjXTo.html
6,Java,光谷动力（北京）科技有限公司,10000.0,北京,1年,大专,民营,,计算机软件,https://jobs.51job.com/beijing/148402946.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coAWBTP1Q3DzkGY1EwUTI.html
7,Java开发工程师,广州景联信息科技有限公司,11500.0,广州·番禺区,3-4年,本科,民营,150-500人,医疗/护理/卫生,https://jobs.51job.com/guangzhou/148424543.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coUzZWMQdlAjQGZFQ-UjU.html
8,Java开发工程师,江苏锦中控股集团有限公司,15000.0,苏州·苏州工业园区,2年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/beijing/148419022.html?s=sou_sou_soulb&t=0_1&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coAmMCZAdlVmBRNgNgVjU.html
9,JAVA全栈工程师,上海铧盛计算机系统科技有限公司,8750.0,上海·闵行区,5-7年,本科,民营,少于50人,计算机硬件,https://jobs.51job.com/shanghai/127607932.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coUTYCZABrUWsDY1c1VDY.html
10,急聘高级java开发工程师（天津+银行）,神州数码信息服务股份有限公司,14000.0,天津,5-7年,本科,已上市,10000人以上,计算机软件,https://jobs.51job.com/beijing/147521022.html?s=sou_sou_soulb&t=0_1&req=e161c9b25a06986f51c732479f30f76d,https://jobs.51job.com/all/coVDBSMFQ_BDkBZlE0UD0.html
11,高级/资深Java开发工程师,同程数科,12000.0,上海·浦东新区,5-7年,本科,民营,500-1000人,互联网/电子商务,https://jobs.51job.com/shanghai/148321707.html?s=sou_sou_soulb&t=0_0&req=e161c9b25a06986f51c732479f30f76d,https://jobs.51job.com/all/coA2FQPQdjDzUPb1YxAmU.html
12,Java,合肥聚鼎信息咨询有限公司,8750.0,上海·黄浦区,2年,本科,民营,500-1000人,多元化业务集团公司,https://jobs.51job.com/shanghai/148419026.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coAmFWNF89ADZVNVQ0XD0.html
13,Java高级开发工程师(研发中心),广州博纳信息技术有限公司,17500.0,广州,3-4年,本科,民营,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/138944613.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coVTFUMlY1BD0GZQxqXTs.html
14,java开发实习生/助理,成都臻琰科技有限公司,4000.0,成都·高新区,无需经验,大专,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/147668366.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coVjYFYFUxBTtSMVc3B2I.html
15,JAVA工程师（1-3年）,上海列顿信息科技有限公司,9000.0,重庆·九龙坡区,3-4年,大专,民营,少于50人,计算机软件,https://jobs.51job.com/shanghai/148419183.html?s=sou_sou_soulb&t=0_1&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coUjddOFM0ATcFaVMyBWA.html
16,Java开发经理,屈臣氏个人用品商店有限公司,11350.0,广州·越秀区,8-9年,本科,外资（非欧美）,10000人以上,,https://jobs.51job.com/guangzhou/147110632.html?s=sou_sou_soulb&t=0_0&req=e161c9b25a06986f51c732479f30f76d,https://jobs.51job.com/all/coUjFSPlYyBz0GYwFk.html
17,java开发(初级）,成都匠翎信息技术有限公司,4250.0,成都·高新区,无需经验,大专,民营,150-500人,计算机软件,https://jobs.51job.com/chengdu/147688759.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coB2RcMVQ_U2xWNAdsAGA.html
18,Java开发工程师,智诚计算机辅助设计（深圳）有限公司,15000.0,深圳·罗湖区,2年,大专,外资（非欧美）,150-500人,计算机软件,https://jobs.51job.com/shenzhen/148314780.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coB2hUNgVjBDhWN1M0.html
19,Java高级开发工程师,广州市迈尔汛科技有限公司,7800.0,广州·黄埔区,5-7年,大专,外资（非欧美）,少于50人,,https://jobs.51job.com/guangzhou/137879403.html?s=sou_sou_soulb&t=0_0&req=e161c9b25a06986f51c732479f30f76d,https://jobs.51job.com/all/coVDMBZ1YxDjNWOwxs.html
20,Java框架研发工程师,字节跳动,3750.0,上海,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/124400832.html?s=sou_sou_soulb&t=0_0&req=e161c9b25a06986f51c732479f30f76d,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
21,高级Java-唯品会,广东南油对外服务有限公司,14500.0,广州·海珠区,3-4年,大专,国企,150-500人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/guangzhou/148335278.html?s=sou_sou_soulb&t=0_0&req=9d7a4affb2f9321d7c645c5038971533,https://jobs.51job.com/all/coUTVdOFU-ATwDZlQ1BmI.html
