职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
物业工程经理-北京,爱玛客服务产业（中国）有限公司,1-1.2万,北京·昌平区,5-7年,本科,外资（欧美）,10000人以上,餐饮业,https://jobs.51job.com/beijing/135058738.html?s=sou_sou_soulb&t=0_0&req=38546ffae916c19dc5bf942d36a54f5d,https://jobs.51job.com/all/coCW5VMVc8U2QOaVMw.html
Senior Backend Developer-4140,瞬联软件科技（北京）有限公司 CIeNET Technologies,2.5-3万,北京·海淀区,5-7年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/beijing/147660454.html?s=sou_sou_soulb&t=0_0&req=38546ffae916c19dc5bf942d36a54f5d,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
LAMY资深销售顾问 北京太古里,琼轩（上海）办公用品有限公司,1-1.5万,北京·朝阳区,1年,大专,外资（非欧美）,150-500人,批发/零售,https://jobs.51job.com/beijing/148537707.html?s=sou_sou_soulb&t=0_0&req=38546ffae916c19dc5bf942d36a54f5d,https://jobs.51job.com/all/coVDEHYgNnBzwCZVE7VTA.html
化妆品导购 (MJ000039),北京华联美好生活百货有限公司,6千-1.2万·13薪,北京·朝阳区,2年,中技/中专,合资,500-1000人,生活服务,https://jobs.51job.com/beijing/146311066.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coUzICZQRhDjAOaAJhUzQ.html
医学经理,北京远博恒康医药科技有限公司,1.5-2万,北京,3-4年,本科,民营,50-150人,制药/生物工程,https://jobs.51job.com/beijing/143006820.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coCWwFY1M3ATcDblQ3UTE.html
解决方案工程师（安防类项目）,北京赛博星通科技有限公司,1.1-1.5万,北京·石景山区,3-4年,本科,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/146753038.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coBmdRM14-ADYFaA1sUjI.html
采购经理助理,华泰永创（北京）科技股份有限公司,7.5千-1.2万,北京·大兴区,1年,本科,民营,150-500人,环保,https://jobs.51job.com/beijing/125505154.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coUjFSMwRmU2xRPVY3VzU.html
DT51-营运管理员,北京华联美好生活百货有限公司,5-7千·13薪,北京·朝阳区,无需经验,大专,合资,500-1000人,生活服务,https://jobs.51job.com/beijing/142201598.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coUzICZQRhDjAOaAJhUzQ.html
专利诉讼律师助理（电学）,北京市联德律师事务所,1-1.5万,北京,无需经验,本科,外资（欧美）,50-150人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/beijing/127569907.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coVjJQMQBlADsHZA1sAmY.html
行政主管,唐山四季美盛物业服务有限公司北京海淀分公司,4.7-6千,北京·海淀区,2年,本科,民营,50-150人,房地产,https://jobs.51job.com/beijing/139010384.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coUjBcPAJlADwEZQZsVTM.html
Senior PSO/MDK Tester-3606,瞬联软件科技（北京）有限公司 CIeNET Technologies,1.5-2万,北京·朝阳区,3-4年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/beijing/146688140.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
安全管理工程师,华泰永创（北京）科技股份有限公司,7千-1.2万,北京·大兴区,1年,本科,民营,150-500人,环保,https://jobs.51job.com/beijing/140746788.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coUjFSMwRmU2xRPVY3VzU.html
财务专员,北京飞译网络技术有限公司,5-7千,北京·海淀区,2年,本科,外资（非欧美）,150-500人,计算机软件,https://jobs.51job.com/beijing/147950894.html?s=sou_sou_soulb&t=0_0&req=685feb8d8dc4a69f02670f3b5edff8b6,https://jobs.51job.com/all/coBWVTP1M5AD0CblAwUDc.html
