职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Java开发工程师,智诚计算机辅助设计（深圳）有限公司,1-2万·13薪,深圳·罗湖区,2年,本科,外资（非欧美）,150-500人,计算机软件,https://jobs.51job.com/shenzhen/148460564.html?s=sou_sou_soulb&t=0_0&req=74e8a293b18a691065678307fd6ca1e2,https://jobs.51job.com/all/coB2hUNgVjBDhWN1M0.html
Java工程师,深圳枫叶教育集团有限公司,2-2.5万,深圳·龙岗区,5-7年,本科,民营,5000-10000人,教育/培训/院校,https://jobs.51job.com/shenzhen/148508299.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coUTFVNlA6BDkCYwVuVjU.html
Java游戏主程,娉娉科技（广州）有限公司,2-3万,广州·黄埔区,5-7年,大专,民营,少于50人,,https://jobs.51job.com/guangzhou/140024973.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coVTACYFcxUWYBbVAwXD4.html
Java开发工程师,上海宏时数据系统有限公司,1.5-2万,上海·徐汇区,5-7年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/148500367.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coBmQBZF46AzhVNFM1AmE.html
Java开发-W0083V,上海网达软件股份有限公司,1.2-1.8万,北京·西城区,3-4年,本科,已上市,1000-5000人,互联网/电子商务,https://jobs.51job.com/beijing/148546413.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coBGBQNwNhBjAHYgBkVTY.html
Java软件工程师,江西瑞德电子有限公司深圳分公司,1-2万,苏州·高新区,5-7年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/shenzhen/148532338.html?s=sou_sou_soulb&t=0_1&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coBGRdMVQ-UWtTNwFrUTw.html
Java开发教师,四川长江职业学院,10-15万/年,成都·龙泉驿区,1年,本科,民营,10000人以上,教育/培训/院校,https://jobs.51job.com/chengdu/141757122.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coUjdQM1c0UmtWNQ1uAWA.html
Java开发工程师,希亚思（上海）信息技术有限公司,8千-1.6万,上海·杨浦区,3-4年,大专,外资（非欧美）,50-150人,,https://jobs.51job.com/shanghai/136731630.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coB2BWMAdkUmtWMgVi.html
Java研发工程师,北京清能互联科技有限公司,8千-1.5万,广州·天河区,1年,本科,民营,150-500人,电气/电力/水利,https://jobs.51job.com/guangzhou/101930112.html?s=sou_sou_soulb&t=0_0&req=74e8a293b18a691065678307fd6ca1e2,https://jobs.51job.com/all/coCGpRMlI5ADgPaQxtVTY.html
高级/资深Java开发工程师-飞书企业应用,字节跳动,2.5-4万,北京,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/118565756.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
Java开发工程师,北京聘多多科技有限公司,1.5-3万,广州·白云区,1年,大专,民营,500-1000人,计算机软件,https://jobs.51job.com/guangzhou/129476305.html?s=sou_sou_soulb&t=0_0&req=74e8a293b18a691065678307fd6ca1e2,https://jobs.51job.com/all/coVjZQNFMxBTkDZgBiB2I.html
Java高级开发工程师,上海泊冉软件有限公司,1.5-3万,上海·宝山区,2年,本科,民营,50-150人,计算机硬件,https://jobs.51job.com/shanghai/129295018.html?s=sou_sou_soulb&t=0_0&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coBGFRN1UzAT4DYAFhVTM.html
数字信息事业部-JAVA开发工程师,湖南高速信息科技有限公司,12-16万/年,长沙·开福区,5-7年,本科,国企,150-500人,,https://jobs.51job.com/shanghai/148426147.html?s=sou_sou_soulb&t=0_1&req=ee55f82569fab4c570fc69ba52ff444a,https://jobs.51job.com/all/coVTRcPgBiAD1UNgBnUTY.html
Java高级工程师,广东杰富亿自动化有限公司,1.3-1.8万,东莞·石碣镇,8-9年,本科,民营,50-150人,仪器仪表/工业自动化,https://jobs.51job.com/guangzhou/148545010.html?s=sou_sou_soulb&t=0_1&req=d05371ab584f743950d4f1288ee7f89c,https://jobs.51job.com/all/coBWRXMQJmBzhSNVQ2VzE.html
