职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
前端开发工程师,深圳数鉴科技有限公司,1-2万,深圳·南山区,1年,本科,民营,少于50人,,https://jobs.51job.com/shenzhen/148656388.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coVjYBZ1c2U2oPagdnUzQ.html
底盘系统基础软件开发,东风汽车集团股份有限公司,1.3-2.5万,上海·闵行区,3-4年,本科,国企,10000人以上,汽车,http://companyads.51job.com/companyads/2022/wh/dongfeng/about4.html?jobid=148664303&ctmid=6051302#bt,http://companyads.51job.com/companyads/2022/wh/dongfeng/index.html
音视频监控系统开发工程师,上铁互联信息技术江苏有限公司,1-2万·13薪,上海·静安区,2年,本科,国企,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/145672331.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coBWECbwRuDzBVNQxqAWI.html
嵌入式软件开发主任工程师,泰极讯科技（上海）有限公司,2.5-4万·13薪,上海·浦东新区,10年以上,本科,合资,少于50人,,https://jobs.51job.com/shanghai/145475257.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coAWBcPFYzADwBZQBmAWw.html
中级Java开发工程师,上海碧蔓智能科技有限公司,1.3-2万,上海·闵行区,3-4年,大专,民营,少于50人,建筑/建材/工程,https://jobs.51job.com/shanghai/131688766.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coUjBSPwBmDzkPaAdiXT8.html
Java开发教师,四川长江职业学院,10-15万/年,成都·龙泉驿区,1年,本科,民营,10000人以上,教育/培训/院校,https://jobs.51job.com/chengdu/141757122.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coUjdQM1c0UmtWNQ1uAWA.html
嵌入式开发工程师,深圳市瑞驰信息技术有限公司,2-3万·13薪,深圳·南山区,3-4年,本科,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/141413865.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coAGJVMVAwDjBTMAZjAGI.html
Linux开发工程师,成都蓉卡科技有限公司,8千-1.2万·13薪,成都·成华区,3-4年,大专,民营,少于50人,互联网/电子商务,https://jobs.51job.com/chengdu/148611923.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coUjNdPQJiADkAYw1nVDE.html
分析方法开发经理,尧唐（上海）生物科技有限公司,2.5-3.5万,上海·闵行区,5-7年,硕士,民营,少于50人,制药/生物工程,https://jobs.51job.com/shanghai/148133899.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coBmZXNVE6BzEHYAFmVjU.html
精铺开发主管,深圳北半球网络科技有限公司,1.5-2.5万·15薪,深圳·龙华区,5-7年,大专,民营,50-150人,贸易/进出口,https://jobs.51job.com/shenzhen/148624371.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coAWRVMgdlUWcBYwxtBmU.html
软件开发工程师,上海滨捷机电有限公司,2-3万,上海·青浦区,3-4年,大专,民营,50-150人,仪器仪表/工业自动化,https://jobs.51job.com/shanghai/126800344.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coBGEAZFU3AT8BYgVlBmc.html
亚马逊产品开发专员,广州凌昂贸易有限公司,7千-1.1万,广州·番禺区,2年,大专,民营,50-150人,贸易/进出口,https://jobs.51job.com/guangzhou/147159703.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coVDFSNlc1DzkHYwNiXD0.html
前端开发工程师,深圳市瑞驰信息技术有限公司,1.5-2万·13薪,深圳·南山区,3-4年,本科,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/138247908.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coAGJVMVAwDjBTMAZjAGI.html
Java开发工程师,上海菁淇信息科技有限公司,1-1.5万,上海·浦东新区,2年,大专,合资,50-150人,计算机软件,https://jobs.51job.com/shanghai/127683588.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coVjZSNANkAz5TNgZnUzY.html
eBay产品开发 跨境电商,深圳市速诺科技有限公司,8千-1.2万,深圳·龙华区,1年,大专,民营,少于50人,互联网/电子商务,https://jobs.51job.com/shenzhen/139844666.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coB2YCZ1MzUW9VNgJnVzM.html
运维开发工程师-7400,瞬联软件科技（北京）有限公司 CIeNET Technologies,2-3万,北京·海淀区,5-7年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/beijing/148652334.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
应用开发经理（数据平台开发方向）,中银信息技术服务（深圳）有限公司,1.5-3万,深圳·罗湖区,5-7年,本科,外资（非欧美）,150-500人,银行,https://jobs.51job.com/shenzhen/139214517.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coCGwHalIzBzlSN1Y9.html
odoo开发工程师,上海西信信息科技股份有限公司,1.5-2.5万·13薪,上海,5-7年,大专,已上市,150-500人,计算机软件,https://jobs.51job.com/shanghai/144210739.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coAmBQM1A6DzYBbFc1.html
