职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
PHP开发工程师,广州传思信息科技有限公司,8千-1.5万·13薪,广州·海珠区,1年,大专,外资（非欧美）,50-150人,互联网/电子商务,https://jobs.51job.com/guangzhou/127284018.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coAGVWNVc9U2hRM1M2UTM.html
PHP开发工程师,成都迪翔光科技有限公司,1-1.6万·13薪,成都·高新区,2年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/chengdu/147684698.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coBGUHYFI0DjVVNFE2BWE.html
PHP高级开发工程师,上海翼得营销策划有限公司,1.2-2万,上海·普陀区,3-4年,本科,合资,150-500人,互联网/电子商务,https://jobs.51job.com/shanghai/148331076.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coCW0AYVYzBjoCZ1E1AGM.html
资深PHP开发工程师,上海柯穆网络科技有限公司,1.4-2万,上海·黄浦区,3-4年,,民营,少于50人,计算机软件,https://jobs.51job.com/shanghai/146235784.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coVjNRN1c8VGwPYwJjXDw.html
PHP开发工程师,广州恒康信息科技有限公司,7千-1.2万,广州·黄埔区,2年,大专,外资（非欧美）,150-500人,计算机软件,https://jobs.51job.com/guangzhou/96689796.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coVTECYgdjADwHa1Q0VTc.html
PHP高级开发工程师,源鸿物联科技有限公司,8千-1.2万,广州,2年,本科,国企,50-150人,交通/运输/物流,https://jobs.51job.com/guangzhou/148320207.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coAGFSMgBrVm8EZwZjUTI.html
PHP研发工程师,广州市大枣信息科技有限公司,8千-1.5万,广州·天河区,3-4年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/146130896.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coAGJcO189ATgGYlEzXDw.html
PHP开发助理,上海柯穆网络科技有限公司,7千-1万,上海·黄浦区,1年,,民营,少于50人,计算机软件,https://jobs.51job.com/shanghai/146440705.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coVjNRN1c8VGwPYwJjXDw.html
PHP开发工程师,上海永冠众诚新材料科技（集团）股份有限公司,1.2-1.8万,上海·青浦区,2年,大专,已上市,1000-5000人,印刷/包装/造纸,https://jobs.51job.com/shanghai/148563661.html?s=sou_sou_soulb&t=0_0&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coUjcGZQBlUmQEYFE1UzU.html
PHP技术管培生,中山华定科技有限公司,5.3千-1万,中山,无需经验,,外资（欧美）,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/guangzhou/148574883.html?s=sou_sou_soulb&t=0_1&req=ecef92872390bc445ca6593d43298d3b,https://jobs.51job.com/all/coAWNXMVUyAzUEYQBgBmU.html
