职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Python后端开发工程师,广州赛灵力科技有限公司,1-2万·13薪,广州·黄埔区,2年,本科,民营,50-150人,计算机软件,https://jobs.51job.com/guangzhou/140385377.html?s=sou_sou_soulb&t=0_0&req=c0132a70937ebe9429bc5cc2c499aaf8,https://jobs.51job.com/all/coVDVcOQVvBzhRMAZlUzc.html
Python工程师,上海全晓信息技术有限公司,2-3.2万,上海·浦东新区,5-7年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/146641351.html?s=sou_sou_soulb&t=0_0&req=c0132a70937ebe9429bc5cc2c499aaf8,https://jobs.51job.com/all/coBGRRNlY9UmwPbVY2Bms.html
运维开发-Python方向-驻场,深圳市同和信息技术有限公司,1-1.6万,深圳·南山区,3-4年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/shenzhen/145097051.html?s=sou_sou_soulb&t=0_0&req=ba3aff786b79278cdc88982cf8cf55c9,https://jobs.51job.com/all/coVjMFYF89ADtRPFc3BWQ.html
Python开发工程师,上海阅维科技股份有限公司,1-1.5万,上海·静安区,2年,本科,民营,150-500人,通信/电信/网络设备,https://jobs.51job.com/shanghai/136930251.html?s=sou_sou_soulb&t=0_0&req=c0132a70937ebe9429bc5cc2c499aaf8,https://jobs.51job.com/all/coVTECblU3UW0CYwZtVjE.html
Python研发工程师,广州市凯泽利科技有限公司,1-1.5万,广州·天河区,5-7年,大专,民营,50-150人,,https://jobs.51job.com/guangzhou/144890671.html?s=sou_sou_soulb&t=0_0&req=ba3aff786b79278cdc88982cf8cf55c9,https://jobs.51job.com/all/coAmFQN1UyU2QEZQNiXTk.html
Python开发工程师,汉堂软件工程（上海）有限公司,2-2.7万·13薪,上海,1年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/shanghai/147974631.html?s=sou_sou_soulb&t=0_0&req=ba3aff786b79278cdc88982cf8cf55c9,https://jobs.51job.com/all/coUzYBYABjUW4DbgxrVjs.html
Python初级开发工程师,深圳市易达恒通供应链管理有限公司,6-8千,深圳·福田区,2年,大专,民营,50-150人,交通/运输/物流,https://jobs.51job.com/shenzhen/129405054.html?s=sou_sou_soulb&t=0_0&req=c0132a70937ebe9429bc5cc2c499aaf8,https://jobs.51job.com/all/coUjZQMQdnAj4BYgJkAW0.html
Python开发工程师,广州中隐丰约投资咨询有限公司,15-25万/年,广州·天河区,3-4年,本科,民营,少于50人,金融/投资/证券,https://jobs.51job.com/guangzhou/144395242.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coAmcGZQRiDjJUNlY0VjI.html
民生银行/python后端开发工程师,深圳市法本信息技术股份有限公司,1.3-1.7万,北京·东城区,3-4年,本科,已上市,1000-5000人,,https://jobs.51job.com/beijing/148029093.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coBmcFZgJgBDJVMA1uAGQ.html
企业信息中心Python开发工程师,北京大学深圳研究生院,1-1.5万,深圳·南山区,1年,硕士,事业单位,150-500人,教育/培训/院校,https://jobs.51job.com/shenzhen/146027023.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coVjcHY1MyAjtUNwBnUzc.html
